,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_restaurant,assign_to_var_id_restaurant,assign_from_node_id_restaurant,assign_to_node_id_restaurant,assign_type_restaurant,dist_restaurant,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school
0,0,51,0,432,existing,296.48192454242303,0,51,0,116,existing,258.7332694289322,0,51,0,317,allocated,735.4624598470089
1,1,62,1,432,existing,218.0058431521466,1,62,1,432,existing,218.0058431521466,1,62,1,223,existing,674.0390155102871
2,2,59,4,348,existing,353.4980892217159,2,59,4,348,existing,353.4980892217159,2,59,4,317,allocated,368.7543224401495
3,3,59,5,348,existing,447.76488988877736,3,59,5,348,existing,447.76488988877736,3,59,5,317,allocated,463.021123107211
4,4,20,6,223,allocated,534.992222710598,4,20,6,116,existing,627.3604564721977,4,20,6,223,existing,534.992222710598
5,5,20,7,223,allocated,472.3963789044123,5,20,7,116,existing,569.5257379259755,5,20,7,223,existing,472.3963789044123
6,6,55,10,75,existing,264.4449187143209,6,55,10,117,existing,292.2622232349164,6,55,10,191,existing,582.8527219310824
7,7,55,11,75,existing,246.26229857820962,7,55,11,117,existing,274.07960309880514,7,55,11,191,existing,564.6701017949712
8,8,50,12,226,existing,694.93146500412,8,50,12,448,existing,723.0356848681216,8,50,12,140,existing,198.10633618639258
9,9,50,13,226,existing,591.933949697758,9,50,13,448,existing,620.0381695617594,9,50,13,140,existing,95.10882088003044
10,10,50,14,226,existing,594.0863266900817,10,50,14,237,allocated,497.87594068744045,10,50,14,191,existing,351.7439620261028
11,11,50,15,226,existing,511.7116524474365,11,50,15,237,allocated,580.2506149300857,11,50,15,456,existing,389.0308918739273
12,12,55,18,75,existing,513.296474568567,12,55,18,237,allocated,392.52753693575863,12,55,18,191,existing,353.4920358733428
13,13,55,19,75,existing,418.18921673581576,13,55,19,237,allocated,297.4202791030074,13,55,19,191,existing,258.3847780405915
14,14,59,20,348,existing,506.60448428838794,14,59,20,348,existing,506.60448428838794,14,59,20,317,allocated,628.9222916868407
15,15,59,21,348,existing,350.97242802240686,15,59,21,348,existing,350.97242802240686,15,59,21,317,allocated,757.488347381171
16,16,20,22,223,allocated,531.4876005205765,16,20,22,237,allocated,657.5640632818531,16,20,22,223,existing,531.4876005205765
17,17,20,23,223,allocated,560.4149031267698,17,20,23,237,allocated,686.4913658880466,17,20,23,223,existing,560.4149031267698
18,18,57,24,277,existing,392.7235465104668,18,57,24,237,allocated,303.36247796286955,18,57,24,191,existing,449.49445662420715
19,19,55,25,75,existing,345.0774421352815,19,55,25,237,allocated,206.74332764636074,19,55,25,191,existing,352.87530630769834
20,20,59,32,348,existing,389.97160254160394,20,59,32,348,existing,389.97160254160394,20,59,32,317,allocated,796.4875219003682
21,21,56,34,277,existing,108.78011890150118,21,56,34,277,existing,108.78011890150118,21,56,34,191,existing,444.5887103853505
22,22,50,64,226,existing,80.43336377748045,22,50,64,448,existing,223.25952992676665,22,50,64,456,existing,177.96605849740027
23,23,65,72,317,existing,140.74895458194072,23,65,72,116,existing,447.8950871267643,23,65,72,317,allocated,140.74895458194072
24,24,20,79,223,allocated,512.3820822151822,24,20,79,237,allocated,933.4886086831505,24,20,79,223,existing,512.3820822151822
25,25,54,80,448,existing,264.55657875301426,25,54,80,448,existing,264.55657875301426,25,54,80,456,existing,260.32510117090203
26,26,54,81,448,existing,206.12477215827437,26,54,81,448,existing,206.12477215827437,26,54,81,456,existing,318.7569077656419
27,27,50,82,226,existing,322.0606822453375,27,50,82,448,existing,464.8868483946237,27,50,82,456,existing,73.41715998102319
28,28,50,83,226,existing,306.0908032974272,28,50,83,448,existing,448.91696944671344,28,50,83,456,existing,88.58058627960732
29,29,55,85,75,existing,300.8204463879305,29,55,85,237,allocated,162.48633189900974,29,55,85,191,existing,308.61831056034737
30,30,50,86,226,existing,363.79692458973443,30,50,86,448,existing,406.46886141710604,30,50,86,456,existing,146.28670757191452
31,31,54,87,448,existing,316.846558313071,31,54,87,448,existing,316.846558313071,31,54,87,140,existing,208.08279036865804
32,32,55,88,75,existing,376.13925116857973,32,55,88,237,allocated,281.34731592260295,32,55,88,191,existing,427.47929458394054
33,33,55,89,75,existing,503.60644486286805,33,55,89,237,allocated,408.81450961689126,33,55,89,191,existing,413.5151337069726
34,34,59,90,348,existing,220.55723973149,34,59,90,348,existing,220.55723973149,34,59,90,317,allocated,501.69517193037547
35,35,59,91,348,existing,157.86824615155066,35,59,91,348,existing,157.86824615155066,35,59,91,317,allocated,564.3841655103147
36,36,50,92,226,existing,414.4777315562335,36,50,92,448,existing,557.3038977055197,36,50,92,456,existing,291.79697098272425
37,37,50,93,226,existing,368.6534036987787,37,50,93,448,existing,511.4795698480649,37,50,93,456,existing,245.97264312526943
38,38,54,94,448,existing,725.084343886861,38,54,94,448,existing,725.084343886861,38,54,94,140,existing,479.8233988835374
39,39,54,95,448,existing,616.7115691208198,39,54,95,448,existing,616.7115691208198,39,54,95,140,existing,525.1992337136264
40,40,65,103,317,existing,450.19243854951196,40,65,103,348,existing,563.0981927536766,40,65,103,317,allocated,450.19243854951196
41,41,65,104,317,existing,508.51948670209083,41,65,104,348,existing,621.4252409062555,41,65,104,317,allocated,508.51948670209083
42,42,20,105,223,allocated,456.7045332749493,42,20,105,116,existing,553.8338922965124,42,20,105,223,existing,456.7045332749493
43,43,20,106,223,allocated,293.3888268706524,43,20,106,432,existing,964.3539993309338,43,20,106,223,existing,293.3888268706524
44,44,20,107,223,allocated,110.53984310107607,44,20,107,432,existing,781.5050155613575,44,20,107,223,existing,110.53984310107607
45,45,20,108,223,allocated,89.383227598289,45,20,108,432,existing,981.4280862607225,45,20,108,223,existing,89.383227598289
46,46,20,109,223,allocated,165.27744447870566,46,20,109,432,existing,1057.3223031411392,46,20,109,223,existing,165.27744447870566
47,47,55,110,75,existing,600.9142014795214,47,55,110,237,allocated,480.14526384671296,47,55,110,191,existing,339.85599196467376
48,48,55,111,75,existing,556.964194221771,48,55,111,237,allocated,436.1952565889626,48,55,111,191,existing,295.9059847069234
49,49,58,118,117,existing,25.07357140966935,49,58,118,117,existing,25.07357140966935,49,58,118,191,existing,626.1892544216537
50,50,55,119,75,existing,159.21208704423896,50,55,119,117,existing,173.64293557032252,50,55,119,191,existing,477.6198902610005
51,51,56,121,277,existing,245.4595094152733,51,56,121,237,allocated,161.7773412102408,51,56,121,191,existing,307.9093198715784
52,52,55,122,75,existing,155.30496952217234,52,55,122,237,allocated,16.970855033251585,52,55,122,191,existing,163.1028336945892
53,53,55,123,75,existing,99.3883999821999,53,55,123,117,existing,233.46662263236158,53,55,123,191,existing,417.7962031989615
54,54,50,124,226,existing,454.2653646474689,54,50,124,448,existing,597.0915307967551,54,50,124,140,existing,159.86807225412025
55,55,50,125,226,existing,493.75270749561037,55,50,125,448,existing,585.0820481460338,55,50,125,140,existing,120.38072940597878
56,56,59,127,348,existing,429.77924330695186,56,59,127,348,existing,429.77924330695186,56,59,127,317,allocated,836.2951626657159
57,57,55,128,75,existing,279.1638877271697,57,55,128,237,allocated,140.82977323824898,57,55,128,191,existing,286.9617518995866
58,58,50,129,226,existing,105.41365745697223,58,50,129,448,existing,324.7824448736965,58,50,129,456,existing,246.88388991409073
59,59,54,131,448,existing,286.9128022101476,59,54,131,448,existing,286.9128022101476,59,54,131,456,existing,399.5449378175152
60,60,50,132,226,existing,509.08010329897263,60,50,132,237,allocated,531.8786201150244,60,50,132,140,existing,195.798807216401
61,61,50,133,226,existing,435.86798421057426,61,50,133,448,existing,578.6941503598605,61,50,133,456,existing,187.2244619462599
62,62,55,134,75,existing,511.0738562094274,62,55,134,237,allocated,390.304918576619,62,55,134,191,existing,250.01564669457977
63,63,55,136,75,existing,666.6017327156369,63,55,136,237,allocated,506.1138775355832,63,55,136,140,existing,432.0708555055439
64,64,55,137,75,existing,723.1199009725361,64,55,137,237,allocated,562.6320457924824,64,55,137,140,existing,375.5526872486447
65,65,20,138,223,allocated,337.2041557123084,65,20,138,237,allocated,758.3106821802764,65,20,138,223,existing,337.2041557123084
66,66,20,139,223,allocated,414.37165784382336,66,20,139,237,allocated,774.6800059586064,66,20,139,223,existing,414.37165784382336
67,67,55,141,75,existing,631.6054112183713,67,55,141,237,allocated,568.9404764879756,67,55,141,191,existing,715.0724551493133
68,68,55,142,75,existing,621.5059568362701,68,55,142,237,allocated,558.8410221058745,68,55,142,191,existing,704.9730007672122
69,69,54,143,448,existing,216.36017603775255,69,54,143,448,existing,216.36017603775255,69,54,143,456,existing,579.2749999151398
70,70,54,144,448,existing,303.40022220240803,70,54,144,448,existing,303.40022220240803,70,54,144,456,existing,641.9688240461489
71,71,56,147,277,existing,228.8101968680465,71,56,147,277,existing,228.8101968680465,71,56,147,191,existing,782.1790261548981
72,72,57,148,277,existing,478.02266780959474,72,57,148,237,allocated,388.6615992619975,72,57,148,191,existing,534.7935779233351
73,73,65,149,317,existing,637.7422179701132,73,65,149,116,existing,621.5545934591541,73,65,149,317,allocated,637.7422179701132
74,74,60,150,432,existing,467.94042105771666,74,60,150,116,existing,430.19176594422584,74,60,150,317,allocated,564.0039633317152
75,75,65,154,317,existing,564.6778831408741,75,65,154,116,existing,694.6189282883934,75,65,154,317,allocated,564.6778831408741
76,76,65,155,317,existing,476.6278748908047,76,65,155,116,existing,623.2640618890093,76,65,155,317,allocated,476.6278748908047
77,77,20,156,223,allocated,380.9033348473325,77,20,156,432,existing,511.1415238151011,77,20,156,223,existing,380.9033348473325
78,78,61,157,432,existing,355.9041675472955,78,61,157,432,existing,355.9041675472955,78,61,157,223,existing,536.140691115138
79,79,57,160,277,existing,219.07720296780818,79,57,160,277,existing,219.07720296780818,79,57,160,191,existing,772.4460322546598
80,80,55,163,75,existing,240.93743269908174,80,55,163,237,allocated,182.42324381166176,80,55,163,191,existing,328.5552224729994
81,81,65,171,317,existing,347.1564439687124,81,65,171,116,existing,506.39399996530955,81,65,171,317,allocated,347.1564439687124
82,82,55,172,75,existing,536.9206872401319,82,55,172,237,allocated,474.2557525097361,82,55,172,191,existing,620.3877311710737
83,83,55,174,75,existing,515.1596970102862,83,55,174,237,allocated,342.88387245486234,83,55,174,191,existing,196.75189379352472
84,84,54,175,448,existing,345.27139596260815,84,54,175,448,existing,345.27139596260815,84,54,175,140,existing,428.66166229798125
85,85,54,176,448,existing,402.2405620477101,85,54,176,448,existing,402.2405620477101,85,54,176,140,existing,485.63082838308316
86,86,55,177,75,existing,753.3751776789809,86,55,177,237,allocated,592.8873224989272,86,55,177,140,existing,463.98266886655176
87,87,55,178,75,existing,363.55761268718,87,55,178,117,existing,391.3749172077755,87,55,178,191,existing,589.3924766130785
88,88,50,190,226,existing,435.39512640715964,88,50,190,448,existing,578.2212925564459,88,50,190,456,existing,186.75160414284534
89,89,55,191,75,existing,318.4078032167615,89,55,191,237,allocated,146.13197866133763,89,55,191,191,existing,0.0
90,90,55,192,75,existing,477.04795683069045,90,55,192,237,allocated,304.77213227526653,90,55,192,191,existing,224.4380754067347
91,91,59,196,348,existing,503.9775753412823,91,59,196,348,existing,503.9775753412823,91,59,196,317,allocated,519.233808559716
92,92,55,198,75,existing,123.180563271273,92,55,198,237,allocated,295.4563878266969,92,55,198,191,existing,441.5883664880346
93,93,62,200,432,existing,118.51573883043316,93,62,200,432,existing,118.51573883043316,93,62,200,317,allocated,728.2482449280153
94,94,20,201,223,allocated,282.24464330972665,94,20,201,432,existing,609.8002153527069,94,20,201,223,existing,282.24464330972665
95,95,20,202,223,allocated,411.9958192649867,95,20,202,432,existing,739.551391307967,95,20,202,223,existing,411.9958192649867
96,96,54,205,448,existing,721.7512679957721,96,54,205,237,allocated,712.8270013295448,96,54,205,140,existing,315.6340567482581
97,97,54,206,448,existing,662.7939969449299,97,54,206,237,allocated,653.8697302787026,97,54,206,140,existing,284.3150027624245
98,98,50,207,226,existing,527.1961637205101,98,50,207,237,allocated,584.1513649851341,98,50,207,456,existing,278.5526414561958
